molecule	source	gene	start	end	direction	genome
KY370037_Circovirus_daga	Geneious	cap	1040	1674	-1	1674
KY370037_Circovirus_daga	Geneious	rep	132	1043	1	1674
OQ599922_Circovirus_kukwuria	Geneious	cap	1051	1551	-1	1680
OQ599922_Circovirus_kukwuria	cpgplot	CpG	445	571	0	1680
OQ599922_Circovirus_kukwuria	Geneious	rep	125	1039	1	1680
GQ404856_Circovirus_eniyan	Geneious	cap	963	1628	-1	1699
GQ404856_Circovirus_eniyan	cpgplot	CpG	1539	1640	0	1699
GQ404856_Circovirus_eniyan	Geneious	rep	35	958	1	1699
MZ604582_Circovirus_naaleeli	Geneious	cap	927	1691	-1	1723
MZ604582_Circovirus_naaleeli	cpgplot	CpG	340	471	0	1723
MZ604582_Circovirus_naaleeli	Geneious	rep	64	930	1	1723
KJ020099_Circovirus_mink	Geneious	cap	1039	1722	-1	1753
KJ020099_Circovirus_mink	cpgplot	CpG	1606	1701	0	1753
KJ020099_Circovirus_mink	Geneious	rep	55	948	1	1753
AF071879_Circovirus_porcine1	Geneious	cap	1037	1729	-1	1758
AF071879_Circovirus_porcine1	Geneious	rep	54	992	1	1758
JQ814849_Circovirus_bianfu	Geneious	cap	1084	1740	-1	1760
JQ814849_Circovirus_bianfu	cpgplot	CpG	1638	1726	0	1760
JQ814849_Circovirus_bianfu	Geneious	rep	44	955	1	1760
KX756996_Circovirus_siksparnis	Geneious	cap	1028	1735	-1	1761
KX756996_Circovirus_siksparnis	Geneious	rep	52	990	1	1761
AY651850_Circovirus_porcine2	Geneious	cap	1040	1741	-1	1767
AY651850_Circovirus_porcine2	cpgplot	CpG	1601	1716	0	1767
AY651850_Circovirus_porcine2	Geneious	rep	58	1002	1	1767
KT783484_Circovirus_bastao	Geneious	cap	1092	1748	-1	1767
KT783484_Circovirus_bastao	cpgplot	CpG	1649	1734	0	1767
KT783484_Circovirus_bastao	Geneious	rep	45	956	1	1767
MK986820_Circovirus_porcine4	Geneious	cap	1047	1733	-1	1770
MK986820_Circovirus_porcine4	cpgplot	CpG	1633	1716	0	1770
MK986820_Circovirus_porcine4	Geneious	rep	75	965	1	1770
EU056309_Circovirus_swan	Geneious	cap	975	1730	-1	1783
EU056309_Circovirus_swan	Geneious	rep	55	936	1	1783
MN585201_Circovirus_elk	Geneious	cap	1044	1742	-1	1787
MN585201_Circovirus_elk	Geneious	rep	53	1006	1	1787
MW881235_Circovirus_lin	Geneious	cap	1059	1754	-1	1788
MW881235_Circovirus_lin	cpgplot	CpG	349	461	0	1788
MW881235_Circovirus_lin	cpgplot	CpG	1615	1740	0	1788
MW881235_Circovirus_lin	Geneious	rep	60	1019	1	1788
KC339249_Circovirus_vleermuis	Geneious	cap	1032	1763	-1	1798
KC339249_Circovirus_vleermuis	Geneious	rep	51	992	1	1798
KX987146_Circovirus_pichong	Geneious	cap	1038	1643	-1	1812
KX987146_Circovirus_pichong	cpgplot	CpG	25	108	0	1812
KX987146_Circovirus_pichong	Geneious	rep	43	930	1	1812
AJ304456_Circovirus_goose	Geneious	cap	1016	1768	-1	1821
AJ304456_Circovirus_goose	cpgplot	CpG	510	609	0	1821
AJ304456_Circovirus_goose	cpgplot	CpG	1685	1788	0	1821
AJ304456_Circovirus_goose	Geneious	rep	80	961	1	1821
MZ604590_Circovirus_pato	Geneious	cap	1156	1803	-1	1821
MZ604590_Circovirus_pato	cpgplot	CpG	1693	1787	0	1821
MZ604590_Circovirus_pato	Geneious	rep	42	253	1	1821
MZ604590_Circovirus_pato	Geneious	rep	333	1035	1	1821
MN164712_Circovirus_tetning	Geneious	cap	1162	1758	-1	1853
MN164712_Circovirus_tetning	cpgplot	CpG	1026	1133	0	1853
MN164712_Circovirus_tetning	cpgplot	CpG	1699	1799	0	1853
MN164712_Circovirus_tetning	Geneious	rep	47	964	1	1853
JX863737_Circovirus_chauvesouris	Geneious	cap	1117	1833	-1	1862
JX863737_Circovirus_chauvesouris	Geneious	rep	58	945	1	1862
MZ382570_Circovirus_magu	Geneious	cap	1228	1869	-1	1879
MZ382570_Circovirus_magu	Geneious	rep	169	1077	1	1879
KJ641724_Circovirus_ratpenat	Geneious	cap	1220	1864	-1	1880
KJ641724_Circovirus_ratpenat	cpgplot	CpG	175	257	0	1880
KJ641724_Circovirus_ratpenat	cpgplot	CpG	1762	1847	0	1880
KJ641724_Circovirus_ratpenat	Geneious	rep	77	1132	1	1880
MN103538_Circovirus_whale	Geneious	cap	986	1852	-1	1889
MN103538_Circovirus_whale	Geneious	rep	35	901	1	1889
ON596197_Circovirus_wesa	Geneious	cap	1247	1885	-1	1895
ON596197_Circovirus_wesa	Geneious	rep	123	1028	1	1895
DQ146997_Circovirus_raven	Geneious	cap	1123	1713	-1	1898
DQ146997_Circovirus_raven	cpgplot	CpG	321	415	0	1898
DQ146997_Circovirus_raven	cpgplot	CpG	936	1027	0	1898
DQ146997_Circovirus_raven	Geneious	rep	43	918	1	1898
KJ641741_Circovirus_kelawar	Geneious	cap	1081	1845	-1	1900
KJ641741_Circovirus_kelawar	cpgplot	CpG	1717	1850	0	1900
KJ641741_Circovirus_kelawar	Geneious	rep	56	1003	1	1900
OL704833_Circovirus_tzinaka	Geneious	cap	1261	1893	-1	1919
OL704833_Circovirus_tzinaka	Geneious	rep	225	1187	1	1919
GQ404851_Circovirus_impundu	Geneious	cap	1080	1592	-1	1935
GQ404851_Circovirus_impundu	cpgplot	CpG	922	1042	0	1935
GQ404851_Circovirus_impundu	cpgplot	CpG	1792	1897	0	1935
GQ404851_Circovirus_impundu	Geneious	rep	243	917	1	1935
MZ710934_Circovirus_torpegem	Geneious	cap	1229	1858	-1	1935
MZ710934_Circovirus_torpegem	cpgplot	CpG	1148	1230	0	1935
MZ710934_Circovirus_torpegem	Geneious	rep	52	999	1	1935
KU230452_Circovirus_yaa	Geneious	cap	1099	1599	-1	1939
KU230452_Circovirus_yaa	cpgplot	CpG	927	1017	0	1939
KU230452_Circovirus_yaa	cpgplot	CpG	1791	1899	0	1939
KU230452_Circovirus_yaa	Geneious	rep	52	924	1	1939
KJ641723_Circovirus_lepakko	Geneious	cap	1302	1925	-1	1944
KJ641723_Circovirus_lepakko	cpgplot	CpG	631	718	0	1944
KJ641723_Circovirus_lepakko	cpgplot	CpG	1828	1912	0	1944
KJ641723_Circovirus_lepakko	Geneious	rep	201	1157	1	1944
AJ301633_Circovirus_canary	Geneious	cap	1161	1913	-1	1952
AJ301633_Circovirus_canary	cpgplot	CpG	947	1097	0	1952
AJ301633_Circovirus_canary	Geneious	rep	39	911	1	1952
GU799606_Circovirus_barbel	Geneious	cap	1268	1768	-1	1957
GU799606_Circovirus_barbel	cpgplot	CpG	1818	1899	0	1957
GU799606_Circovirus_barbel	Geneious	rep	55	1014	1	1957
MZ710935_Circovirus_gyurgyalag	Geneious	cap	1171	1893	-1	1960
MZ710935_Circovirus_gyurgyalag	cpgplot	CpG	993	1112	0	1960
MZ710935_Circovirus_gyurgyalag	Geneious	rep	34	945	1	1960
DQ845075_Circovirus_finch	Geneious	cap	1219	1926	-1	1962
DQ845075_Circovirus_finch	cpgplot	CpG	353	487	0	1962
DQ845075_Circovirus_finch	cpgplot	CpG	1812	1928	0	1962
DQ845075_Circovirus_finch	Geneious	rep	36	911	1	1962
JQ011377_Circovirus_catfish	Geneious	cap	1260	1943	-1	1966
JQ011377_Circovirus_catfish	Geneious	rep	260	1204	1	1966
MW686208_Circovirus_gloton	Geneious	cap	1319	1957	-1	1967
